,open,high,low,close,volume
20201014,8660,8710,8520,8560,1378069
20201013,8750,8760,8640,8690,1222174
20201012,8680,8710,8630,8710,1167198
20201008,8670,8750,8600,8660,1754142
20201007,8570,8670,8430,8670,1185924
20201006,8640,8700,8500,8500,1396053
20201005,8600,8730,8550,8650,1627541
20200929,8500,8580,8490,8580,1772722
20200928,8300,8440,8250,8430,877258
20200925,8140,8290,8120,8240,1018349
20200924,8240,8240,8080,8080,1282199
20200923,8270,8360,8220,8250,1319212
20200922,8350,8400,8250,8260,1978885
20200921,8400,8470,8380,8390,975822
20200918,8490,8490,8410,8410,1274163
20200917,8500,8510,8420,8440,1253269
20200916,8460,8520,8450,8510,813220
20200915,8460,8530,8410,8530,1160176
20200914,8430,8540,8400,8530,1171958
20200911,8380,8430,8370,8390,1222159
20200910,8420,8480,8380,8420,1764579
20200909,8450,8480,8360,8420,1414235
20200908,8520,8550,8430,8490,1565828
20200907,8530,8530,8450,8460,1419269
20200904,8460,8530,8420,8460,1638579
20200903,8640,8670,8580,8590,1074525
20200902,8680,8680,8530,8620,1453357
20200901,8480,8630,8470,8580,1328052
20200831,8710,8740,8460,8460,2450013
20200828,8670,8790,8620,8640,1399571
20200827,8720,8750,8610,8610,1033160
20200826,8760,8800,8610,8800,1590558
20200825,8760,8850,8700,8810,1499954
20200824,8640,8700,8500,8680,1293520
20200821,8480,8690,8480,8590,1172932
20200820,8710,8760,8450,8450,1834558
20200819,8750,8860,8750,8760,1080761
20200818,9000,9070,8760,8760,2145369
20200814,9210,9210,9040,9100,1551834
20200813,9200,9300,9110,9210,2968102
20200812,9150,9300,8980,9240,3014579
20200811,8990,9100,8900,9050,3535877
20200810,8650,8890,8600,8890,2647901
20200807,8680,8710,8530,8640,1753193
20200806,8550,8790,8550,8670,2423276
20200805,8570,8610,8500,8560,1170169
20200804,8380,8570,8380,8570,1390921
20200803,8490,8510,8390,8390,1485135
20200731,8660,8700,8470,8500,2645106
20200730,8680,8850,8650,8680,1842447
20200729,8570,8730,8560,8670,1462380
20200728,8750,8790,8630,8680,2168806
20200727,8720,8940,8720,8780,780121
20200724,8900,8900,8750,8800,709116
20200723,8860,8880,8770,8820,1475174
20200722,9000,9200,8860,8860,2029753
20200721,8960,9070,8850,8940,1532040
20200720,8800,9000,8720,8970,1509594
20200717,8890,8930,8800,8820,1170759
20200716,8730,8910,8720,8890,1888066
20200715,8590,8830,8580,8790,2362682
20200714,8520,8550,8420,8500,1966804
20200713,8440,8610,8400,8600,1955637
20200710,8700,8700,8390,8410,2350749
20200709,8810,8830,8710,8710,2074990
20200708,8980,8980,8780,8810,1711153
20200707,9150,9160,8910,8930,1441525
20200706,9100,9100,8850,9060,1133052
20200703,8950,8990,8880,8950,682717
20200702,8930,9010,8890,8920,852921
20200701,8830,9050,8830,8930,870901
20200630,8700,8960,8700,8810,1507048
20200629,8710,8770,8620,8690,1644839
20200626,9020,9050,8940,8940,1258950
