,open,high,low,close,volume
20201014,55300,59400,55300,58800,254021
20201013,55500,56200,54700,55300,105792
20201012,55400,55600,54300,54900,63492
20201008,55500,55700,54500,55400,95530
20201007,53200,55300,52500,55100,104562
20201006,53500,53700,52900,53100,37603
20201005,53900,54200,53100,53300,64636
20200929,52200,53800,51700,53300,100520
20200928,51400,51900,50500,50800,51773
20200925,52100,52200,49600,51300,87470
20200924,51500,51500,50100,51100,48112
20200923,51000,53900,50200,51600,47678
20200922,52600,52800,50600,50700,65565
20200921,52700,53700,52600,52700,54376
20200918,53900,53900,52300,53000,66455
20200917,54300,54500,53000,53500,113308
20200916,51900,54100,51800,53400,107214
20200915,52500,53400,51800,52400,52999
20200914,51200,53300,50900,52800,96160
20200911,50800,51200,50200,51000,43303
20200910,51300,51600,50800,50900,70409
20200909,50400,51500,49700,51000,135533
20200908,50400,51100,50200,50700,115306
20200907,50900,50900,49250,50400,132134
20200904,53100,53200,49800,50800,285035
20200903,55900,55900,54400,54400,50498
20200902,55600,55600,54600,55400,39482
20200901,54500,55500,54100,55500,51200
20200831,54200,55300,53600,55000,79814
20200828,53500,54700,53200,53600,51228
20200827,55000,55000,53200,53200,56074
20200826,54000,54900,53300,54400,58249
20200825,53500,54800,53000,54300,76137
20200824,53100,54400,51200,53300,69376
20200821,50000,54300,49950,53200,88784
20200820,52600,53100,49100,49800,125166
20200819,51400,54000,51400,53100,76780
20200818,55000,55500,50600,51500,139933
20200814,56500,57500,54600,55800,99676
20200813,55800,57200,54500,55600,186051
20200812,52500,55700,51600,55500,283515
20200811,51900,52600,50800,51800,98105
20200810,50000,52500,49700,51700,142292
20200807,50300,51400,49250,49650,82582
20200806,48900,50800,48650,49900,88902
20200805,48600,49000,48200,48900,48594
20200804,48350,49250,48250,48600,57810
20200803,50000,50100,48200,48550,59825
20200731,51200,51500,49600,50000,91036
20200730,49950,51100,49500,50900,155930
20200729,48450,49350,47700,49000,94623
20200728,48400,49950,48350,48800,61368
20200727,47750,49350,47450,48900,63293
20200724,47200,47950,46650,47450,61037
20200723,46900,47900,46200,47500,67636
20200722,48050,48300,46850,46850,62512
20200721,48350,48850,48050,48200,53302
20200720,47700,48800,47150,48750,82291
20200717,46650,47600,46550,47600,54875
20200716,47450,47550,46600,46850,34964
20200715,46250,47550,46250,47300,72234
20200714,44850,46250,44800,46250,61312
20200713,44700,45400,44700,45300,45121
20200710,45750,45750,44500,44700,73935
20200709,47000,47000,45550,45550,60228
20200708,46800,46800,45900,46550,35773
20200707,47350,47500,46250,46500,52381
20200706,46500,47550,45700,46900,60472
20200703,45350,46600,45150,46300,77014
20200702,44600,46150,44600,45200,88881
20200701,44950,45250,44250,44550,83037
20200630,45600,45950,44550,44700,80333
20200629,44750,45450,44100,44700,65494
20200626,46100,46500,45700,45850,33402
20200625,46700,47200,46000,46000,55060
20200624,47150,48050,47150,47600,42207
20200623,47300,47800,46400,47550,60203
20200622,47000,47200,46550,46850,73281
20200619,48850,48850,47450,47900,52684
20200618,47950,48200,47050,48000,82053
20200617,48550,48800,47250,48550,90042
20200616,47100,49100,47100,48750,85155
20200615,50000,50300,46550,46550,137608
20200612,52100,52300,50700,50800,110242
20200611,55100,55200,52700,53700,136940
20200610,54600,55600,53900,55400,66975
20200609,55700,56400,54200,54200,80462
20200608,56100,56700,55300,55300,114931
20200605,54100,55200,53700,54900,82941
20200604,55100,56000,53400,53700,154035
20200603,53700,55300,53700,54500,151677
20200602,52000,53900,51500,53600,94063
20200601,51900,52600,51600,52000,74439
20200529,53300,53400,51700,51700,95003
20200528,54400,54700,53200,53700,74620
20200527,54100,54900,53800,54200,61705
20200526,54700,55100,53800,54400,70685
20200525,54900,54900,53300,53700,62194
20200522,56500,56500,53500,54000,70623
20200521,56900,56900,55800,55800,51012
20200520,58200,58200,56300,56500,42829
20200519,56700,58100,56400,58000,63028
20200518,56600,56600,55200,56200,28783
20200515,56700,56700,55600,56100,34989
20200514,56200,56400,55300,56300,46955
20200513,55500,56100,55100,55900,28342
20200512,57200,57400,55500,55600,34833
20200511,57300,58400,56900,57200,35659
20200508,56800,58100,56700,57700,36939
20200507,56300,57200,56200,56400,32568
20200506,56900,57100,55900,57000,29468
20200504,56500,57600,55100,55400,51652
20200429,58800,58800,57700,58300,29236
20200428,57500,58700,57100,58300,27315
20200427,56800,58100,56100,57800,34330
20200424,57400,58100,56000,57000,30614
20200423,56400,58800,55800,58100,53979
20200422,58000,59000,54000,56700,100739
20200421,61800,61800,57100,58300,68373
20200420,60300,62200,59900,61900,56864
20200417,58500,62000,57900,62000,95792
20200416,53500,57500,53300,57500,48041
20200414,54500,55700,54300,55000,35942
20200413,55400,56300,54200,54700,34432
20200410,55700,56900,55100,55400,31138
20200409,54900,56900,54500,56100,51792
20200408,55100,56700,54200,54500,43599
20200407,53900,55800,53100,55700,49833
20200406,51800,53900,51200,53500,50665
20200403,50800,51500,50000,51100,43409
20200402,50100,52200,49900,51600,37586
20200401,52600,53900,49900,50300,57431
20200331,53200,55600,52300,52600,64678
20200330,52500,55100,50100,53200,54172
20200327,55300,55300,51400,53500,67090
20200326,52500,54700,51700,51700,68260
20200325,46950,54100,46400,54100,129667
20200324,44150,47100,43300,46750,95099
20200323,43750,45000,41300,43250,82739
20200320,43800,46050,42950,46050,88755
20200319,48300,49600,41550,43800,136203
20200318,52400,53500,48000,48000,107852
20200317,50700,54500,50700,53500,68613
20200316,56100,57000,53600,55100,54930
20200313,52200,56600,51300,56100,108654
20200312,63600,63600,57200,58300,84079
20200311,61000,61800,60300,61200,61471
20200310,61800,62700,61100,61800,42824
20200309,63200,64000,60500,61900,63161
20200306,65500,65500,63600,64200,40665
20200305,64900,66200,63800,65500,62611
20200304,65200,66300,64700,65000,47241
20200303,66500,67000,64700,65200,52543
20200302,69800,69800,65000,66600,86738
20200228,69900,69900,66800,67700,65368
20200227,67100,69400,67100,68600,58362
20200226,68200,68700,66500,68100,69382
20200225,67700,69300,67300,67900,39150
20200224,70000,70600,67800,68200,42113
20200221,69300,71200,69300,70000,27926
20200220,71400,72300,70600,70700,24990
20200219,72800,72800,71000,71600,37945
20200218,71300,72000,70600,71900,42039
20200217,73300,73400,72100,72500,23388
20200214,73200,73600,72300,73200,39257
20200213,73500,74200,72800,73200,43829
