,open,high,low,close,volume
20201014,29850,30000,29100,29100,1464666
20201013,30400,30600,29900,30000,1068667
20201012,29800,30600,29700,30550,1507349
20201008,29950,30100,29550,29950,1559667
20201007,28900,29800,28650,29650,1567864
20201006,29500,30050,29100,29300,1687551
20201005,27950,29600,27750,29300,2961211
20200929,28200,28450,28000,28100,1299172
20200928,27800,27900,27550,27750,593893
20200925,27650,28250,27450,27550,1078057
20200924,27600,27700,27350,27550,1094078
20200923,27650,28000,27600,27700,1298744
20200922,28050,28250,27650,27750,1311417
20200921,28000,28400,28000,28150,708954
20200918,28500,28550,28150,28150,1080781
20200917,28700,28750,28350,28450,1054473
20200916,28350,28600,28250,28450,796563
20200915,28650,28700,28350,28600,889883
20200914,28450,28800,28250,28700,1171860
20200911,27650,28250,27600,28200,890728
20200910,28000,28150,27850,27850,1395051
20200909,27700,27850,27400,27700,1407002
20200908,28200,28600,28000,28050,1292266
20200907,28000,28250,27650,28050,1525584
20200904,27500,27950,27500,27950,1207726
20200903,28650,28750,28000,28050,1854711
20200902,28750,28800,28200,28500,1030671
20200901,28200,28750,28200,28500,1247607
20200831,29250,29400,28200,28200,1820975
20200828,29100,29700,28900,28950,1455320
20200827,28950,28950,28450,28700,1167842
20200826,29300,29500,28600,29150,948210
20200825,28900,29450,28700,29350,1188982
20200824,28150,28800,28000,28450,915900
20200821,27850,28850,27850,28350,1282208
20200820,28800,28900,27650,27800,2282005
20200819,29200,29700,29050,29050,1318610
20200818,30500,30550,29050,29050,2370890
20200814,31600,31650,30800,30800,1662551
20200813,31800,31950,31200,31950,2544845
20200812,31700,32100,31100,31900,2713547
20200811,30750,31350,30300,31250,3158361
20200810,29400,30400,29350,30250,2067079
20200807,29550,29550,28900,29300,1505492
20200806,28900,30400,28850,29350,2849679
20200805,29100,29300,28700,28800,1472458
20200804,29450,29900,29100,29200,1125598
20200803,29500,29700,29050,29550,1282160
20200731,30050,30300,29500,29500,1194365
20200730,30050,30450,29800,30100,1990458
20200729,28450,29700,28350,29700,1880761
20200728,28750,28950,28250,28700,1765082
