,open,high,low,close,volume
20201014,354500,357500,337000,346000,327552
20201013,367500,367500,351000,354000,340256
20201012,352500,369000,346000,355500,488902
20201008,320000,358500,317500,349000,1014851
20201007,311500,321500,311500,314500,215116
20201006,299000,321500,297500,314500,486515
20201005,299500,301000,292000,299000,149561
20200929,291500,302500,289500,296500,293642
20200928,307000,310000,286000,289000,379350
20200925,282000,320500,276500,301000,1411032
20200924,296500,298000,272500,275000,486279
20200923,308500,314000,288000,304500,383567
20200922,313000,314500,296500,305000,409995
20200921,337000,339000,312000,316500,462444
20200918,334000,344000,333000,337000,210527
20200917,350500,354000,332500,338000,292246
20200916,361000,363000,347000,348000,415796
20200915,343000,364000,337000,363500,580159
20200914,370000,371000,344000,346000,562049
20200911,349000,356500,337500,349500,439737
20200910,333500,355500,327500,346000,1292176
20200909,321500,339000,302000,318000,2385330
20200908,390000,394000,365000,370500,623076
20200907,399000,400500,386500,394000,385999
20200904,397500,405500,396500,404500,384734
20200903,421500,424000,413000,414500,245333
20200902,412000,428500,411500,415500,336325
20200901,400000,430000,392500,415000,817082
20200831,400000,403000,392500,393500,314375
20200828,400500,408500,391500,393000,346284
20200827,415000,415500,401000,402000,300646
20200826,413500,419500,402500,414000,382648
20200825,412500,432000,406500,416500,669755
20200824,400000,402500,387500,400000,330485
20200821,410000,410500,392500,395500,395820
20200820,407500,414000,382000,401500,654956
20200819,384500,412000,381500,412000,803137
20200818,397000,404500,371000,379000,654492
20200814,442000,466000,380500,386000,1935908
20200813,417000,454000,409500,436000,1138610
20200812,402000,421000,379000,400000,478482
20200811,401500,414500,384500,401000,576885
20200810,332000,433500,329000,401500,1815181
20200807,325000,348500,315000,339000,734159
20200806,305500,320000,294500,319500,540379
20200805,314500,322000,299500,305000,795124
20200804,274000,300000,270500,300000,1078123
20200803,272000,276000,250000,269500,578417
20200731,273000,278500,268000,269000,331889
20200730,266000,285000,264500,274000,716412
20200729,282500,285500,264500,268500,1080186
20200728,300000,319500,283000,292500,1216222
20200727,328500,350000,302500,310000,4637109
20200724,228000,310000,224000,280500,6873909
20200723,265000,290000,237500,238500,5001044
20200722,209500,232000,209500,232000,1309454
20200721,170000,181000,168000,178500,1101926
20200720,167000,179000,163000,178000,922880
20200717,159500,165500,157500,164000,469370
20200716,152500,163000,151000,161000,975817
20200715,153000,154500,143000,150000,837400
20200714,142500,156000,140000,155500,1177114
20200713,143500,145500,139000,140500,365070
20200710,142000,149500,139500,142000,781588
20200709,141500,147000,135500,142000,749128
20200708,127500,146000,127000,140500,1878961
20200707,131500,132500,126500,128000,470993
20200706,128000,138000,123000,132000,1137795
20200703,126000,128000,120500,126500,898826
20200702,137000,137000,114000,122500,2187130
20200701,129500,139500,124000,135500,3010097
20200630,133000,137000,123500,128500,2028840
20200629,110000,137000,108500,134500,5360032
20200626,121000,124500,109000,111000,1625157
20200625,101000,118500,100000,114000,3681847
20200624,99000,104500,98000,102500,610400
20200623,102000,102500,97500,98400,362257
20200622,98000,102000,96700,100500,505882
20200619,98900,99000,96000,97400,258374
20200618,98700,99400,96500,98000,287344
20200617,97600,100000,94900,97300,407051
20200616,102000,102000,96500,98100,639428
20200615,96500,107500,94900,96100,2327992
20200612,92400,95600,91700,94500,447640
20200611,98300,99400,96300,96700,440912
20200610,101000,101500,97200,98300,613579
20200609,94000,99800,93400,98500,1086667
20200608,95500,96300,94000,94300,331098
20200605,92300,95400,91700,94300,337365
20200604,94500,94700,92200,92300,242848
20200603,92500,95000,91600,92700,500607
20200602,91200,92100,90500,92000,216819
20200601,91400,91900,90600,91100,250892
20200529,92800,93500,91500,91900,213065
20200528,91200,93700,90100,92500,320343
20200527,93400,93500,90600,90800,274233
20200526,94300,94300,91200,92800,345354
20200525,95100,95700,93000,93700,269156
20200522,95400,96500,94300,94700,441350
20200521,93800,95800,93300,94200,513669
20200520,95300,97800,93000,93100,716582
20200519,99600,105500,94200,94300,2199858
20200518,95400,106000,92800,103000,2254397
20200515,102000,117500,97000,97500,5524203
20200514,81000,98400,80200,94800,3158161
20200513,81000,81000,79400,80400,218144
20200512,82900,83200,81000,81400,271162
20200511,81000,82800,79600,82800,552022
20200508,79500,79600,78600,79500,207315
20200507,78100,79000,76900,78800,160538
20200506,75700,81200,75500,77700,687188
20200504,76400,77200,75400,75500,145752
20200429,78700,78900,77500,77700,143629
20200428,79900,80500,77800,78600,292745
20200427,77700,78400,77100,77700,127752
20200424,77500,79000,76700,77300,211254
