,open,high,low,close,volume
20201014,26900,26950,26250,26250,184423
20201013,27000,27000,26500,26800,233401
20201012,26500,26950,26250,26900,233198
20201008,27000,27000,26500,26500,218525
20201007,26500,27000,26050,26850,246593
20201006,26300,26650,26100,26350,176788
20201005,25650,26500,25450,26400,247192
20200929,25300,25500,25050,25400,197643
20200928,25200,25300,24950,25050,207220
20200925,25950,25950,24750,25000,323872
20200924,25000,26300,24950,25550,433197
20200923,25500,25750,24850,25600,262133
20200922,26000,26100,25250,25350,462899
20200921,26700,26900,26250,26300,359052
20200918,26700,27000,26450,27000,281855
20200917,27050,27050,26250,26700,475004
20200916,28400,28600,27000,27100,984418
20200915,28200,28200,27350,27600,490726
20200914,27400,28150,27250,28150,383368
20200911,28200,28200,27350,27600,387384
20200910,28300,28550,27750,28350,479004
20200909,29000,29450,28150,28150,682021
20200908,29400,29750,29050,29200,679513
20200907,29500,30200,28650,28800,993760
20200904,28500,31000,28350,29150,2118062
20200903,27650,29600,27100,29250,2721162
20200902,27000,27050,26500,26800,349153
20200901,25600,26950,25600,26700,612603
20200831,25650,26100,25600,25800,297703
20200828,25300,25950,25300,25600,265309
20200827,26350,26400,25500,25500,355900
20200826,26600,26800,26050,26300,392912
20200825,25750,26450,25700,26300,384050
20200824,25500,25950,24900,25600,304220
20200821,25650,26250,25150,25700,776698
20200820,25850,26100,24650,24800,799075
20200819,25950,26150,25350,25700,386669
20200818,27200,27450,25700,25750,659799
20200814,27100,27800,26850,27100,691182
20200813,27200,27350,26400,27100,765699
20200812,27750,27750,26250,26950,1072899
20200811,27250,27600,26600,27400,742071
20200810,25550,27150,25150,26850,1199916
20200807,25350,25550,24950,25550,403003
20200806,25800,26150,25400,25400,418552
20200805,25250,25900,24900,25800,615252
20200804,24500,25300,24500,25200,317390
20200803,24200,24800,24150,24500,301738
20200731,24900,25000,24300,24300,484757
20200730,25900,25950,24850,24950,734928
20200729,27250,28500,25900,25900,2136279
20200728,25000,26000,24500,25600,886977
20200727,25850,26650,24750,25000,1351751
20200724,24000,24200,23900,23900,242089
20200723,24600,24700,24100,24300,208999
20200722,24050,24800,24050,24600,346033
20200721,23950,24400,23950,24200,258062
20200720,24200,24250,23900,24000,183075
20200717,23850,24150,23850,23850,183090
20200716,24200,24600,24000,24100,214962
20200715,24050,24450,24000,24350,255083
20200714,23600,23950,23500,23950,174615
20200713,23600,24050,23500,23800,199234
20200710,24100,24100,23350,23400,332612
20200709,24500,24500,24050,24050,294485
20200708,24300,24500,24000,24300,283339
20200707,24800,24900,24350,24350,324098
20200706,24500,24750,24350,24650,228287
20200703,24650,24700,24200,24450,285011
20200702,24700,25000,24550,24650,261005
20200701,24700,25150,24500,24700,319211
20200630,25450,25450,24600,24600,414303
20200629,25450,25450,24400,24600,314328
20200626,24300,25450,24250,25150,564237
20200625,24650,24650,24100,24100,400601
20200624,25100,25500,24500,24650,1057966
20200623,26350,27100,25950,26100,817265
20200622,26150,27300,25600,26350,1136631
20200619,29250,29650,26550,26650,3757564
20200618,29100,30700,28400,29200,4839770
20200617,28700,31100,26750,29850,11721235
20200616,25700,26600,25050,26250,1982075
20200615,25050,28200,25000,26150,3745454
20200612,24100,24700,23900,24500,476050
20200611,25100,25150,24500,25150,494127
20200610,25600,25650,24800,25050,393279
20200609,25850,26650,25200,25500,1098364
20200608,25750,25800,25200,25300,474793
20200605,25200,25450,24750,25450,317687
20200604,26250,26250,24950,25300,777983
20200603,24650,25600,24500,25150,716294
20200602,24250,24600,24100,24500,302240
20200601,24800,24850,24200,24500,354132
20200529,24300,24450,23800,24300,447332
20200528,24750,25250,23750,24000,790000
20200527,23500,24600,23500,24500,642701
20200526,23000,23700,23000,23500,330081
20200525,23500,23500,22850,23050,274742
20200522,24000,24000,22950,23200,415653
20200521,23900,24350,23650,23900,343767
20200520,23650,23900,23450,23800,242377
20200519,23550,23950,23400,23750,401700
20200518,23700,23700,22900,23100,220870
20200515,23300,23600,23000,23450,345914
20200514,24200,24200,23100,23250,495053
20200513,23650,24500,23650,24300,384461
20200512,24700,24750,23400,23650,477651
20200511,25000,25200,24450,24450,386417
20200508,25250,25400,24900,25000,271047
20200507,24400,25250,24350,25150,301319
20200506,24500,24850,24450,24600,379897
20200504,25050,25550,24350,24350,791292
20200429,27250,27900,26550,26900,803064
20200428,26150,28450,25650,27400,2733936
20200427,25400,26500,25200,26050,969445
20200424,24650,27100,24600,25700,2860903
20200423,24150,24500,24000,24250,607632
20200422,24200,24750,23400,24150,1206783
20200421,23400,29500,22500,24650,5908661
20200420,23350,24100,23050,23400,312201
20200417,22950,23450,22750,23150,302962
20200416,22250,22600,21850,22550,268872
20200414,22150,22950,22100,22950,317221
20200413,23250,23400,21950,21950,299188
20200410,23400,23700,22900,23250,262357
20200409,23500,24050,23000,23350,370615
20200408,22250,23750,21600,22950,504879
20200407,21150,23500,20800,22300,837639
20200406,19600,20200,19400,20150,259943
20200403,19900,19900,19250,19500,289842
20200402,19600,20050,19250,19950,297199
20200401,20150,20800,19700,19950,356431
20200331,20500,21050,20200,20550,367761
20200330,18800,20150,18650,20150,339888
20200327,20500,20800,18800,19800,536289
20200326,18750,19900,18000,19250,662070
20200325,17850,19100,17550,18200,654279
20200324,15300,16650,15100,16650,465924
20200323,15100,15600,14850,15000,462930
20200320,15700,16750,15050,16750,717128
20200319,18500,18950,15450,15700,706180
20200318,20150,20500,18450,18450,369689
20200317,19350,21150,19350,20200,378303
20200316,22250,22900,21000,21000,326383
20200313,21150,22600,20450,22050,797717
20200312,25200,25400,23550,23850,476674
20200311,26350,26600,25400,25500,259603
20200310,26250,27200,26100,26350,319286
20200309,27550,27700,26500,26750,358557
20200306,28650,28900,27950,28200,215917
20200305,28550,29350,28450,28950,221897
20200304,27500,28750,27450,28400,204105
20200303,28100,28550,27550,27750,241573
20200302,27200,28050,27200,27750,257513
20200228,28500,29050,27250,27500,498985
20200227,29250,29950,29050,29100,194583
20200226,29450,29800,29050,29200,263901
20200225,28700,30200,28650,30000,325895
20200224,31700,31800,28850,29200,680532
20200221,31850,32700,31300,32300,313991
20200220,32500,32950,32150,32150,156018
20200219,33000,33250,32200,32750,174877
20200218,32950,33150,32500,32600,152373
20200217,33150,33400,32650,33100,117465
20200214,33300,33750,32900,33300,160314
20200213,33850,34000,33300,33550,197267
20200212,33350,34000,33350,33850,130367
20200211,34100,34550,33600,33700,148186
20200210,33850,34050,33450,33950,97356
20200207,33950,34450,33600,33900,125092
20200206,33350,34450,33350,34250,167347
20200205,32750,33650,32700,33050,166290
20200204,32150,33250,32150,32700,160356
20200203,31900,33150,31700,32400,240432
20200131,33100,33550,32350,32500,152678
20200130,33750,34200,32800,33150,164020
20200129,33100,33950,33100,33700,160097
20200128,34150,34900,32900,33000,295585
20200123,35100,35650,34900,35150,158842
20200122,35950,36200,35000,35300,201531
20200121,35250,36000,35050,35600,331462
20200120,34800,35750,34800,34950,176245
20200117,35250,35650,34800,34800,163866
20200116,35600,35700,35000,35100,143302
20200115,35500,35550,34950,35350,261361
20200114,34350,35600,34350,35500,376440
20200113,33950,34900,33950,34350,188416
20200110,34050,34400,33800,34200,242405
20200109,33600,34350,33600,34300,298343
20200108,34900,36450,33550,34100,1092390
20200107,35200,35250,34450,34650,163170
20200106,35000,36000,34850,35150,375881
20200103,34700,35050,34450,34850,206894
20200102,35300,35300,34650,34700,163331
20191230,34850,35450,34400,35050,229919
