,open,high,low,close,volume
20201014,32500,32850,32350,32450,55950
20201013,33050,33100,32150,32500,49788
20201012,32700,33100,31950,33050,47903
20201008,33000,33200,32300,32650,52301
20201007,32400,32950,32100,32750,49786
20201006,32300,32750,32000,32750,75893
20201005,31300,33300,31050,32300,161071
20200929,30350,31250,29800,31050,89633
20200928,29750,30450,29500,29950,34411
20200925,30450,30450,29400,29650,40595
20200924,29650,30000,28900,30000,130241
20200923,30250,30500,28900,29950,71649
20200922,30450,30800,29600,30050,117624
20200921,29400,30400,29250,30250,119801
20200918,29950,29950,28950,29400,55307
20200917,29050,29900,28700,29800,115649
20200916,28500,29650,28450,29050,67537
20200915,28550,29050,28100,28750,74698
20200914,27600,28700,27450,28500,88072
20200911,27250,28000,27100,27600,90163
20200910,26600,27550,26500,27400,94982
20200909,26850,27000,26200,26300,154365
20200908,27150,27500,27000,27000,36783
20200907,27150,27300,26850,27050,38416
20200904,26250,27150,26250,27150,46895
20200903,27850,27900,27350,27600,59863
20200902,27600,27800,27250,27700,38795
20200901,27150,27450,26850,27450,51570
20200831,27300,27900,26950,27150,121617
20200828,27050,27850,27000,27100,66231
20200827,27800,27900,27000,27050,55376
20200826,28100,28350,27550,27800,63664
20200825,30900,31000,28150,28250,220356
20200824,27300,28000,27300,27550,39106
20200821,27300,28200,27150,27600,41740
20200820,28700,29000,27200,27300,91739
20200819,29000,29550,28900,29100,43138
20200818,30350,30750,28850,28850,74543
20200814,30850,31350,30400,30800,50817
20200813,31000,31050,30200,30850,116523
20200812,30900,31000,30200,31000,69429
20200811,31000,31850,30550,30900,89113
20200810,29350,31800,29350,31000,139694
20200807,29950,30400,29300,29600,77540
20200806,28600,29850,28500,29700,80818
20200805,28400,29200,28350,28550,40256
20200804,28000,28650,28000,28400,33600
20200803,29150,29150,28200,28200,45131
20200731,29300,29550,28500,29150,55007
20200730,28000,29550,28000,29250,112858
20200729,27300,28350,27300,28050,53207
20200728,27600,28000,27450,27500,44465
20200727,27350,27900,27350,27750,23349
20200724,27700,28000,27350,27550,40169
20200723,27900,28200,27400,28050,45504
20200722,27850,28200,27600,27700,38204
20200721,27950,28000,27250,27650,67549
20200720,27350,27850,27300,27600,29239
20200717,27150,27500,27050,27400,35295
20200716,27000,27500,27000,27150,35524
20200715,26650,28150,26600,27000,71205
20200714,26900,26900,26350,26900,25765
20200713,26300,26900,26300,26900,21313
20200710,27150,27150,26100,26300,62821
20200709,27150,27600,26900,26900,38585
20200708,27300,27550,27050,27150,23757
20200707,27700,27800,27100,27200,31172
20200706,27100,27850,26950,27600,32513
20200703,27050,27200,26800,27100,22257
20200702,26900,27350,26800,27000,18410
20200701,26750,27050,26700,26700,20563
20200630,26800,27100,26700,26700,30326
20200629,27400,27450,26700,26700,32029
20200626,28100,28150,27600,27700,21695
20200625,28850,28850,27800,27800,39317
20200624,28450,29200,28150,28850,48970
20200623,28300,28600,28000,28200,36775
20200622,28900,29000,28150,28250,29722
20200619,29000,29300,28700,28800,40905
20200618,29200,29650,28800,29100,48359
20200617,29900,30100,29150,29650,56786
20200616,29950,30650,29450,30000,142184
20200615,32350,32500,29400,29450,100743
20200612,32050,32350,30950,32350,81986
20200611,33150,33850,32050,32800,75192
20200610,34000,34500,33000,34000,42805
20200609,34650,35250,34050,34100,22787
20200608,35550,35800,34550,34550,21909
20200605,34300,35500,33900,35150,25924
20200604,35800,35800,34350,34350,37541
20200603,34000,35850,33850,35000,77096
20200602,32850,34000,32650,33900,41019
20200601,31750,33250,31550,33250,39793
20200529,33300,33350,31750,31750,50981
20200528,33050,33250,32750,32900,33143
20200527,32650,33250,32650,33150,26655
20200526,32400,33350,32150,33100,32395
20200525,31400,32750,31000,32350,44274
20200522,32500,32500,30800,31200,41799
20200521,30950,32500,30850,31850,56219
20200520,31350,31500,30700,30900,59732
20200519,29350,33650,29100,31850,230158
20200518,28550,28800,28250,28700,21365
20200515,28100,28600,27800,28600,22191
20200514,28500,28550,27650,27950,38993
20200513,28350,29000,28150,28700,26509
20200512,29550,29700,28500,28650,43291
20200511,29200,29900,29200,29550,50491
20200508,29100,29550,29050,29400,39403
20200507,28750,29150,28600,29050,28802
20200506,29300,29300,28750,29150,31486
20200504,29500,29950,28850,28850,47206
20200429,29350,30100,29100,30100,41098
20200428,28400,29300,28150,29100,32129
20200427,27750,28600,27750,28400,29069
20200424,29100,29100,27900,28000,42184
20200423,28650,29350,28400,29350,21960
20200422,28500,28900,28100,28600,31137
20200421,29550,30900,28750,29150,48082
20200420,30000,30400,29550,29550,33810
20200417,29150,30500,29150,30200,38429
20200416,29350,29600,28600,29150,25902
20200414,29450,30300,29450,29750,16983
20200413,30100,30500,29450,29450,25800
20200410,30400,31200,30050,30600,34087
20200409,30400,30550,30000,30550,27588
20200408,30100,30750,29600,29850,32259
20200407,29750,30600,29300,30600,32578
20200406,28550,29950,28300,29600,28719
20200403,27550,28500,27550,28450,38900
20200402,27600,28050,26850,27700,46999
20200401,26950,28400,26450,27600,48663
20200331,26600,27250,26550,27100,37449
20200330,26400,26750,25050,26750,34733
20200327,28000,28150,26800,26800,43069
20200326,27350,27900,26700,27350,60796
20200325,27300,27800,26500,27600,79911
20200324,25750,27350,25100,27200,59886
20200323,25100,25650,22900,25450,57895
20200320,23600,27350,23050,26400,99933
20200319,25300,25900,23000,24450,99484
20200318,25700,26500,24750,25300,57396
20200317,25350,26950,25350,26600,46794
20200316,27400,28500,26650,27500,57509
20200313,26350,28700,25400,28100,84486
20200312,30750,31600,28700,30150,65193
20200311,32000,32350,31250,31450,34280
20200310,33050,33050,32000,32400,41779
20200309,33100,33900,32450,33050,33014
20200306,34650,34950,33100,33900,39425
20200305,34800,35050,34300,34850,23329
20200304,35200,35250,34550,34750,22513
20200303,36900,36900,34500,34900,34825
20200302,34250,35750,34250,35000,26422
20200228,36000,36350,35100,35350,31451
20200227,35650,36500,35650,36400,25146
20200226,35350,36250,35000,36250,32162
20200225,36200,36250,34000,35500,43470
20200224,36450,36450,35150,35500,36095
20200221,37450,37550,36600,36700,27531
20200220,38150,38450,37350,37450,26047
20200219,39500,39500,37950,38200,33109
20200218,39250,39800,38650,38950,27519
