,open,high,low,close,volume
20201014,82600,83400,82100,82100,326979
20201013,83200,83900,82900,83000,230350
20201012,83700,84000,83000,83500,291422
20201008,83300,84200,83300,83800,389747
20201007,83100,83400,82100,83100,228556
20201006,82600,83500,82600,83100,241808
20201005,83300,83300,82100,83000,265123
20200929,82000,82700,82000,82400,289301
20200928,80900,82600,80500,81900,238745
20200925,81200,81500,80400,80500,217695
20200924,81900,81900,80100,80400,442055
20200923,81800,82900,81700,82100,335572
20200922,82800,83700,81900,82100,345714
20200921,83100,83900,82800,83200,245914
20200918,83800,84200,83100,83100,365764
20200917,84500,84700,83600,83900,266210
20200916,84200,84900,84200,84800,196277
20200915,84400,85400,84200,84700,301403
20200914,84800,85100,84400,84600,290713
20200911,83200,85200,83200,84600,391519
20200910,84000,84500,83500,83700,438009
20200909,83700,85000,83100,84100,388876
20200908,83000,85000,83000,84200,369415
20200907,82500,83500,82200,83000,320690
20200904,82900,83300,82200,82700,401566
20200903,84200,84900,83500,83600,410587
20200902,84400,84900,83700,84700,306320
20200901,82900,85200,82700,84200,490720
20200831,84800,85300,83100,83100,611585
20200828,85400,85400,83800,84800,482447
20200827,85400,86200,84600,85200,401985
20200826,84900,86000,84300,85400,370504
20200825,84900,86000,84300,85400,335795
20200824,84000,85300,83400,85100,340614
20200821,83400,85200,83000,84200,382680
20200820,84700,85400,83000,83100,583720
20200819,85100,86700,84700,85800,301404
20200818,88100,88100,84800,85400,553417
20200814,88000,88700,87000,88100,398445
20200813,87700,89500,87500,88000,650555
20200812,87700,88400,86700,88300,562328
20200811,85500,89100,85500,88100,719614
20200810,85400,87000,84500,86200,526803
20200807,86500,87100,83600,86300,960954
20200806,81600,86300,80600,86000,1395915
20200805,79800,80400,79700,80100,394896
20200804,79500,80500,79500,80000,299120
20200803,80900,81000,79700,79800,442146
20200731,82100,82500,80700,80900,376445
20200730,81100,82400,81000,82100,281870
20200729,80900,81600,80300,81200,222110
20200728,80400,81500,80400,81200,286483
20200727,80100,81600,80100,80600,242690
20200724,80100,81400,80000,80400,304253
20200723,81800,81900,80600,80800,381136
20200722,82100,83800,81700,81800,375696
20200721,82800,83400,82300,82300,319485
20200720,82900,83500,81800,83100,293503
20200717,83300,84000,82200,82400,275081
20200716,81400,84100,81100,83700,671017
20200715,80800,81000,80200,80700,428085
20200714,78700,80500,78600,80500,340521
20200713,78400,79400,77800,79000,300756
20200710,78600,78600,77700,77800,352754
20200709,79500,79600,78600,78600,389124
20200708,79700,79700,78700,79500,311324
20200707,79900,80500,78500,79200,468900
20200706,80600,80600,79300,79900,239282
20200703,79300,80900,79200,79800,279821
20200702,78400,79700,78300,79300,266795
20200701,79100,79200,78200,78500,239525
20200630,78000,79500,77700,78200,420964
20200629,77000,78600,77000,77700,376596
20200626,78400,78600,78000,78100,306191
20200625,78600,78900,78200,78200,335888
20200624,78500,79600,78200,79500,394313
20200623,79700,80000,78100,78800,576372
20200622,79800,80800,79500,79500,338303
20200619,82000,82100,80200,80600,531345
20200618,82200,82300,81100,81700,307118
20200617,82400,82700,81300,82300,414981
20200616,80000,82800,80000,82600,435544
20200615,82400,82600,79300,79300,542656
20200612,82900,84300,82100,83200,484659
20200611,85000,86400,84100,84800,598441
20200610,87900,87900,85600,85700,617418
20200609,87800,88400,86300,87100,539206
20200608,89100,89100,87800,88000,400893
20200605,87600,88500,86900,88300,348995
20200604,88000,88600,87400,87400,543804
20200603,87500,89500,87400,88000,712211
20200602,85000,88000,84900,87400,680445
20200601,83900,85200,83200,85000,394762
20200529,83500,85800,83000,83900,981672
20200528,84600,85300,82400,82700,854208
20200527,84800,87300,84600,84900,537749
20200526,86100,87400,84700,85300,558146
20200525,83100,86200,82000,85900,938074
20200522,79100,83400,78800,82200,1531549
20200521,78700,78900,78200,78600,374318
20200520,78800,79100,78100,78500,322093
20200519,78900,79100,78500,78700,429097
20200518,77900,78500,77400,77900,319382
20200515,77400,77900,76400,77900,421056
20200514,78600,78600,77000,77100,572819
20200513,76800,79700,76800,78700,576005
20200512,78400,78700,77000,77200,449634
20200511,78700,79500,78400,78400,313176
20200508,79400,79800,78700,78700,344788
20200507,78600,79300,78600,78600,296951
20200506,78600,80000,78500,79000,415323
20200504,80900,80900,78500,78500,622155
20200429,80900,82000,80000,81100,485768
20200428,79900,80600,79200,80300,499074
20200427,78700,81000,78600,80400,434581
20200424,80300,80400,78900,78900,428352
20200423,78600,80600,78200,80200,586112
20200422,77000,79000,76500,79000,486792
20200421,77500,78100,76100,78000,630670
20200420,78100,78600,77600,77900,526527
20200417,77200,78900,77200,78000,635465
20200416,76300,77500,75500,77200,727390
20200414,77800,78400,77200,77800,423335
20200413,78600,79600,77400,77400,428384
20200410,76400,78600,75400,78200,588689
20200409,76500,77100,75600,76500,643453
20200408,76700,78500,76000,76200,558577
20200407,76500,78100,76200,77000,614357
20200406,74300,76400,74100,76200,535187
20200403,71200,75000,71200,74900,606101
20200402,70700,72100,69100,71300,564737
20200401,73500,74000,71000,71000,487326
20200331,73500,74700,73200,74700,521451
20200330,73900,74500,71500,73400,432977
20200327,74300,75400,72600,74500,633524
20200326,71000,75700,70500,72200,684372
20200325,69200,72100,68500,72100,657557
20200324,63600,67700,63400,67700,705417
20200323,65200,65700,63000,63600,600618
20200320,69800,71600,66400,67900,900538
20200319,74500,75800,68600,69100,881642
20200318,76600,77200,75100,75500,705583
20200317,78500,79200,76500,77500,569943
20200316,79500,80900,75600,79300,619412
20200313,75000,81100,74000,79100,1050183
20200312,81000,81700,78400,79500,1239210
20200311,81600,82500,81500,82200,512704
20200310,81800,82600,81500,82300,591797
20200309,81400,82900,81300,81700,502685
20200306,81900,83000,81300,82100,624965
20200305,81800,82700,81400,82500,1079846
20200304,80100,84000,79100,81500,2017991
20200303,85400,86400,84800,84900,434828
20200302,85300,86600,84000,85400,532351
20200228,85600,86000,83900,84700,638713
20200227,82800,87800,82800,86200,866272
20200226,83000,83900,82700,83100,492014
20200225,83700,84800,82700,83900,541303
20200224,84000,85400,83500,83700,642941
20200221,85800,86200,85000,85500,353874
