,open,high,low,close,volume
20201014,38650,38800,37750,38500,383338
20201013,37950,38800,37950,38700,419453
20201012,38600,39200,37750,37900,618638
20201008,38000,38100,37650,37700,381025
20201007,37850,38300,37500,37550,333540
20201006,36550,38800,36300,38300,1047653
20201005,36550,36550,35100,35950,346557
20200929,36600,36600,35750,36250,283391
20200928,33450,36100,33450,35950,493071
20200925,34400,34900,33300,33350,374563
20200924,34100,34500,33550,33800,559094
20200923,34850,35550,33400,34900,519029
20200922,36000,36100,34650,34900,421130
20200921,37150,37250,35650,36050,401320
20200918,37200,37450,36750,36850,367946
20200917,37950,38150,37100,37150,290974
20200916,38500,38500,37800,37950,269765
20200915,37400,38700,37350,38500,579275
20200914,37700,37750,37100,37300,227172
20200911,37550,37700,37000,37350,217832
20200910,37350,37900,37100,37600,386453
20200909,37700,37750,37000,37050,412048
20200908,36650,39300,36650,38050,1273006
20200907,36750,37400,36550,36700,431579
20200904,37050,37700,37000,37300,457976
20200903,38050,38500,37800,38100,434673
20200902,38600,38650,37300,38200,551775
20200901,36850,38200,36400,38100,623741
20200831,36600,37700,36450,36900,717509
20200828,37000,37450,36300,36650,630117
20200827,37800,37800,36100,37000,1255011
20200826,39250,39250,37750,37900,651013
20200825,39150,39150,38450,39000,458368
20200824,38800,39050,37400,38900,544482
20200821,39150,39400,37700,38900,642292
20200820,38600,40300,38250,38850,881337
20200819,39350,40250,38600,38900,730813
20200818,41700,41750,38500,39300,1327397
20200814,44600,45200,40500,41350,1758970
20200813,45050,45750,43900,44100,803274
20200812,44950,45950,44100,44950,675316
20200811,44300,45150,43850,44800,471469
20200810,44050,44900,43550,44300,488329
20200807,44650,44750,43500,44300,553619
20200806,46000,46050,44400,44600,806005
20200805,43950,46750,43900,46500,1444373
20200804,43500,43700,42750,43650,422821
20200803,41900,43750,41400,43500,769702
20200731,41300,41950,40700,41550,558864
20200730,42550,42550,41050,41550,539444
20200729,41950,42550,41750,42550,227629
20200728,42950,43250,42000,42200,364298
20200727,41800,43150,41700,42950,459433
20200724,41900,42200,41450,41600,298905
20200723,42850,42900,42150,42300,309510
20200722,42500,43250,42000,42900,538119
20200721,41600,43000,41500,42400,718745
20200720,41150,41900,39750,41200,1092949
20200717,42450,42900,41500,42300,569282
20200716,43250,43650,42050,42350,585996
20200715,44150,44400,42800,43350,503585
20200714,43950,44500,43100,43650,461858
20200713,45400,45450,43900,44100,583219
20200710,43700,45550,43300,45300,843773
20200709,44050,44600,43200,43400,654442
20200708,45400,45600,44050,44050,536749
20200707,43600,45950,42850,45600,712358
20200706,43700,43700,42850,43150,279673
20200703,43350,44000,42700,43000,295567
20200702,42000,43650,42000,43250,352739
20200701,43900,44200,42200,42450,616057
20200630,44300,44400,43100,43800,458621
20200629,43950,44450,43250,43550,497713
20200626,45100,45150,43800,44350,447209
20200625,44600,45700,44050,44100,541638
20200624,46000,47050,44950,45000,773520
20200623,45000,46350,44250,45900,759936
20200622,42900,44800,42600,44550,571094
20200619,43150,43550,42500,43000,561898
20200618,42100,43200,41750,42650,533167
20200617,42250,43600,41900,42250,839797
20200616,42650,43950,41700,42500,1186563
20200615,40950,43600,39900,41000,2153460
20200612,37500,40800,37300,40200,1447951
20200611,39000,39200,38050,39150,740017
20200610,37250,39250,36950,39000,1007368
20200609,37150,37700,36800,37250,475147
20200608,38050,38050,36700,37150,685816
20200605,38000,38300,37500,37850,387318
20200604,38050,38900,37850,38000,631179
20200603,39100,39150,37700,38050,779614
20200602,39000,39500,38500,38800,641082
20200601,36000,38750,36000,38750,1407345
20200529,35900,36750,35900,36000,576566
20200528,36200,36300,35500,35800,548493
20200527,35900,36450,35800,36400,373464
20200526,36450,36500,35750,36100,409419
20200525,36000,36500,35700,36400,422582
20200522,35900,36350,35300,35800,360044
20200521,36500,36500,35600,35850,469389
20200520,36500,37050,35750,36200,547478
20200519,36500,36550,35250,35400,605488
20200518,36800,37700,35450,36050,1110644
20200515,36100,37300,35000,36000,1172980
20200514,34350,36200,34000,35900,596496
20200513,34850,35250,34000,34500,472627
20200512,34650,35200,34000,35000,407805
20200511,33500,34750,33100,34550,615499
20200508,35100,35800,33500,34200,685543
20200507,35000,35750,34300,35200,561467
20200506,33350,34950,32700,34450,684259
20200504,32400,34150,31750,33000,633360
20200429,31750,32900,31400,32450,475846
20200428,31750,32450,31400,31800,391156
20200427,31300,32050,30900,31800,633962
20200424,29900,31200,29550,31150,906931
20200423,29450,29700,29250,29600,256848
20200422,28400,29600,28150,29500,374168
20200421,29050,29050,28300,28750,327164
20200420,28700,29400,28700,29100,266514
20200417,29250,29650,29000,29050,290703
20200416,28750,29450,28500,29200,231729
20200414,29000,29700,28950,29000,271277
20200413,29050,29450,28550,28800,233580
20200410,29550,29550,28600,29050,336925
20200409,29750,29800,29000,29550,485278
20200408,29400,30050,28900,29450,421981
20200407,29900,30250,28800,29200,575230
20200406,28100,29800,28100,29500,647069
20200403,26950,28250,26800,28050,484075
20200402,26800,27350,26050,26950,336491
20200401,26850,27550,26550,26950,526773
20200331,26550,27300,26150,26850,650506
20200330,25300,26600,24650,25850,486069
20200327,26600,26700,24750,25500,622261
20200326,24800,25950,24300,25450,744386
20200325,23600,24750,22850,24400,794298
20200324,22300,23050,21900,22700,617814
20200323,22350,22850,21450,21700,450741
20200320,21800,24200,21150,24200,776466
20200319,25000,25300,21400,22000,707613
