,open,high,low,close,volume
20201014,310500,310500,301500,302000,48923
20201013,316000,316000,310000,311000,25763
20201012,317000,317000,315000,315500,33863
20201008,318500,319000,315000,315000,29171
20201007,317500,318500,315000,316000,37025
20201006,318000,323500,316000,319000,21729
20201005,316000,320000,315000,319500,24482
20200929,318500,320000,312500,314000,18344
20200928,311000,317000,311000,316000,10255
20200925,315500,316500,308000,310500,19424
20200924,323000,323500,312000,314000,21861
20200923,322000,326000,314000,324500,22099
20200922,330000,332500,321500,322000,22653
20200921,338000,338500,331000,331000,22147
20200918,337000,337500,331500,333500,39721
20200917,342500,342500,336500,337000,27769
20200916,344000,345500,341500,342500,26046
20200915,344000,346500,341000,345500,26480
20200914,346000,346000,341000,343500,18513
20200911,349000,350500,345000,345000,18914
20200910,345000,349000,340500,349000,26588
20200909,349000,349500,341500,343000,26969
20200908,345500,353500,344500,351000,36073
20200907,349000,349500,341500,343000,34481
20200904,352000,352500,346500,347500,37468
20200903,360000,360500,353500,354500,35844
20200902,361500,361500,355000,356000,20816
20200901,359500,359500,355000,358000,24518
20200831,365500,367500,358500,359500,27793
20200828,376500,376500,363000,364000,45252
20200827,359000,375000,359000,375000,51644
20200826,362500,362500,357000,359000,24037
20200825,365500,365500,359500,361500,25105
20200824,362000,366500,360500,361000,20928
20200821,365000,370000,360500,361000,33566
20200820,374000,378000,362000,363500,34104
20200819,366500,378500,366500,374000,30897
20200818,374000,376500,367500,368000,41396
20200814,378000,382000,370500,370500,39815
20200813,381000,384000,371000,379000,64079
20200812,377000,392000,375000,378000,70442
20200811,373000,376500,370500,374000,32226
20200810,376500,377000,370500,372500,31024
20200807,372000,378000,372000,376500,23435
20200806,381000,386000,372500,374000,45580
20200805,380500,383000,376000,381000,30704
20200804,381000,386000,373500,380000,30935
20200803,370000,384000,365000,381500,50684
20200731,362000,369500,359000,369000,39033
20200730,362000,365000,359000,360000,22125
20200729,363000,368500,361000,362000,24347
20200728,363500,366000,361000,365000,35075
20200727,367000,369000,362500,365000,24706
20200724,367500,370500,365500,367000,26595
20200723,372000,375500,367500,367500,31236
20200722,370000,373500,366000,368000,30954
20200721,376500,383000,370500,371000,31955
20200720,373000,379000,370500,374000,33206
20200717,378000,379000,367000,370500,26216
20200716,384000,387000,375000,376500,25406
20200715,396500,396500,381000,383500,29205
20200714,388000,401500,386000,391500,46186
20200713,389000,389500,383000,387000,28996
20200710,383500,388500,382500,383500,19442
20200709,381500,388500,378000,385000,32615
20200708,380000,383500,372500,380500,26023
20200707,380500,383000,374500,380000,27918
20200706,370000,382500,367500,379000,38930
20200703,371500,374000,362500,366000,33602
20200702,366500,374500,365500,367000,21734
20200701,365500,370000,362000,363500,19992
20200630,372500,373000,362000,365500,35547
20200629,374000,383500,370000,370500,27771
20200626,387000,390000,376000,378500,24624
20200625,371000,388500,367500,380000,54571
20200624,384000,388500,373500,373500,31285
20200623,371000,380000,370000,377500,42839
20200622,364500,372500,363000,370500,29050
20200619,368000,373500,361000,369500,40466
20200618,379500,383500,367000,368000,43969
